	airplane-b	airplane-s	apartment-b	apartment-s	apple-b	apple-s	banana-b	banana-s	bar-b	bar-s	beach-b	beach-s	canary-b	canary-s	car-b	car-s	carrot-b	carrot-s	cat-b	cat-s	cathedral-b	cathedral-s	cheerfulness-b	cheerfulness-s	cherry-b	cherry-s	comb-b	comb-s	crow-b	crow-s	democracy-b	democracy-s	dog-b	dog-s	eggplant-b	eggplant-s	freedom-b	freedom-s	friendship-b	friendship-s	giraffe-b	giraffe-s	hammer-b	hammer-s	horse-b	horse-s	jealousy-b	jealousy-s	justice-b	justice-s	kiwi-b	kiwi-s	knife-b	knife-s	lawn-b	lawn-s	lettuce-b	lettuce-s	motorcycle-b	motorcycle-s	mountain-b	mountain-s	pain-b	pain-s	passion-b	passion-s	pencil-b	pencil-s	penguin-b	penguin-s	pineapple-b	pineapple-s	potato-b	potato-s	religion-b	religion-s	restaurant-b	restaurant-s	screwdriver-b	screwdriver-s	sea-b	sea-s	seagull-b	seagull-s	ship-b	ship-s	shop-b	shop-s	swan-b	swan-s	to_believe-b	to_believe-s	to_catch_sight_of-b	to_catch_sight_of-s	to_doubt-b	to_doubt-s	to_eavesdrop-b	to_eavesdrop-s	to_fear-b	to_fear-s	to_feel-b	to_feel-s	to_glimpse-b	to_glimpse-s	to_grab-b	to_grab-s	to_hate-b	to_hate-s	to_hear-b	to_hear-s	to_listen-b	to_listen-s	to_massage-b	to_massage-s	to_peep-b	to_peep-s	to_peer_at-b	to_peer_at-s	to_shout-b	to_shout-s	to_sing-b	to_sing-s	to_spot-b	to_spot-s	to_stroke-b	to_stroke-s	to_think-b	to_think-s	to_touch_lightly-b	to_touch_lightly-s	tomato-b	tomato-s	train-b	train-s	woods-b	woods-s	worry-b	worry-s	zebra-b	zebra-s
to_touch_lightly-b	0.11891	0.12103	0.09150	0.09949	0.00000	0.01146	0.01910	0.00584	0.11354	0.09366	0.04441	0.04373	0.02760	0.03402	0.08996	0.02848	0.00495	0.00394	0.04107	0.02196	0.01593	0.00951	0.27232	0.20053	0.00000	0.00968	0.13616	0.16226	0.00000	0.00764	0.02727	0.08640	0.05504	0.00615	0.00000	0.00424	0.09514	0.17003	0.26828	0.26600	0.00878	0.00852	0.08399	0.09753	0.04439	0.04058	0.27700	0.31194	0.26969	0.27445	0.00625	0.00380	0.06596	0.09336	0.03845	0.01053	0.00000	0.03647	0.06899	0.08242	0.05402	0.01979	0.19592	0.19748	0.26728	0.32421	0.04649	0.09301	0.00000	0.00361	0.00520	0.01120	0.00000	0.01017	0.11486	0.12833	0.07126	0.04406	0.04650	0.07907	0.03494	0.00000	0.01832	0.02106	0.07577	0.11324	0.14146	0.16918	0.00000	0.02230	0.31600	0.38526	0.28968	0.32589	0.40048	0.38063	0.21108	0.19900	0.32369	0.34519	0.74234	0.63938	0.30824	0.29730	0.34602	0.41888	0.32328	0.32805	0.15062	0.16471	0.24591	0.21985	0.27978	0.36395	0.22813	0.26511	0.27546	0.30103	0.17101	0.21438	0.20521	0.16085	0.24397	0.29203	0.46470	0.47716	0.24553	0.22956	1.00000	0.71465	0.00505	0.01814	0.07624	0.06895	0.01654	0.03419	0.24858	0.29961	0.00000	0.00321
to_touch_lightly-s	0.14684	0.15004	0.07908	0.10044	0.00000	0.00770	0.01539	0.00941	0.09059	0.09026	0.03977	0.04060	0.02022	0.01523	0.11506	0.03592	0.00000	0.00000	0.02427	0.02529	0.00000	0.00000	0.20314	0.15109	0.00755	0.01248	0.15502	0.14969	0.00000	0.00000	0.03139	0.09641	0.05785	0.00000	0.00000	0.00341	0.14526	0.26652	0.22502	0.24870	0.01062	0.00961	0.11183	0.11613	0.04846	0.04049	0.19811	0.25020	0.35401	0.35552	0.00000	0.00000	0.09026	0.10651	0.06655	0.03396	0.00000	0.02519	0.09303	0.09318	0.05336	0.01063	0.14317	0.15914	0.20547	0.27176	0.07492	0.13881	0.00000	0.00291	0.00000	0.00000	0.00000	0.00000	0.07713	0.11778	0.05843	0.05072	0.07494	0.09204	0.03378	0.00000	0.00000	0.01273	0.09525	0.13037	0.16840	0.21759	0.00000	0.00000	0.30994	0.48262	0.30138	0.41970	0.44662	0.51876	0.28843	0.35886	0.36291	0.37281	0.75463	0.75673	0.37757	0.48780	0.41884	0.61507	0.25135	0.36336	0.25531	0.32500	0.35081	0.36974	0.48603	0.54828	0.27069	0.42500	0.35858	0.45190	0.28373	0.31954	0.28706	0.38038	0.23091	0.44016	0.57863	0.61390	0.40605	0.43822	0.71465	1.00000	0.00407	0.00974	0.09435	0.08334	0.03776	0.06495	0.16060	0.24144	0.00000	0.00000
tomato-b	0.01050	0.07912	0.05770	0.04312	0.49874	0.39230	0.36821	0.29495	0.00459	0.02363	0.03523	0.06334	0.01706	0.03663	0.04369	0.04378	0.60710	0.47107	0.01489	0.00853	0.03466	0.01725	0.00500	0.00000	0.46098	0.40936	0.06285	0.08710	0.00486	0.01385	0.00000	0.00000	0.01790	0.02925	0.69368	0.64303	0.03404	0.00633	0.00993	0.01998	0.02389	0.00579	0.05711	0.09738	0.12461	0.11169	0.00000	0.00000	0.00000	0.03837	0.33144	0.31761	0.11422	0.16404	0.01743	0.04029	0.60871	0.60993	0.06318	0.02844	0.04739	0.03813	0.00000	0.00000	0.00000	0.00665	0.07443	0.08510	0.00000	0.00981	0.37014	0.26149	0.48879	0.41358	0.00434	0.00000	0.01360	0.01712	0.06639	0.08097	0.06651	0.02412	0.00712	0.01193	0.05769	0.08946	0.02186	0.03123	0.00453	0.00467	0.00491	0.00000	0.00588	0.00000	0.00000	0.00477	0.00000	0.00000	0.00000	0.00000	0.00000	0.00351	0.00000	0.00000	0.00000	0.01720	0.00442	0.00000	0.00000	0.00419	0.00452	0.00000	0.00911	0.02493	0.00000	0.00000	0.00000	0.00000	0.00000	0.00381	0.00527	0.02044	0.00000	0.02206	0.00381	0.01445	0.00581	0.00512	0.00505	0.00407	1.00000	0.83245	0.02499	0.06027	0.02811	0.04650	0.00000	0.00000	0.00000	0.00327
tomato-s	0.02013	0.09418	0.08283	0.07958	0.39988	0.46802	0.22821	0.19178	0.00855	0.04615	0.03752	0.08210	0.07086	0.09548	0.05351	0.05515	0.54142	0.47269	0.02751	0.02216	0.02423	0.01895	0.00600	0.01771	0.41152	0.43429	0.05156	0.08929	0.00388	0.02559	0.00000	0.00541	0.03704	0.05230	0.60716	0.58906	0.02448	0.02277	0.00397	0.01596	0.01431	0.02036	0.07009	0.09450	0.10810	0.09552	0.00564	0.00795	0.02416	0.04737	0.21810	0.29396	0.09328	0.15555	0.06961	0.12230	0.52446	0.59705	0.06576	0.03474	0.05490	0.05017	0.00541	0.01430	0.00955	0.02478	0.10507	0.07796	0.00000	0.02743	0.20889	0.21042	0.37600	0.36300	0.00000	0.00581	0.02716	0.01504	0.06566	0.08908	0.05921	0.03292	0.01137	0.02764	0.04280	0.09666	0.04540	0.04503	0.00362	0.02516	0.01373	0.00571	0.00000	0.00331	0.01031	0.01715	0.00000	0.00000	0.00437	0.00580	0.00000	0.00842	0.00383	0.00832	0.00000	0.01832	0.00353	0.01173	0.00752	0.00334	0.00361	0.00000	0.02184	0.05532	0.00000	0.00766	0.00000	0.00747	0.00000	0.01218	0.01262	0.01143	0.00711	0.02937	0.02281	0.02181	0.01855	0.01226	0.01814	0.00974	0.83245	1.00000	0.02588	0.05015	0.01347	0.05705	0.00466	0.01295	0.00000	0.01177
train-b	0.36828	0.46027	0.07396	0.07863	0.01468	0.00701	0.01902	0.01499	0.11219	0.08857	0.08057	0.08720	0.01473	0.02635	0.47149	0.37436	0.03086	0.03037	0.01607	0.03223	0.02104	0.00698	0.07021	0.05025	0.00000	0.00426	0.03667	0.08304	0.00000	0.00561	0.01715	0.04877	0.05619	0.04059	0.01227	0.01399	0.04409	0.05811	0.10982	0.12294	0.05801	0.05250	0.04377	0.06706	0.16705	0.15883	0.07114	0.08812	0.06121	0.12046	0.00688	0.00418	0.06758	0.05465	0.03135	0.03382	0.01629	0.04205	0.38535	0.38003	0.06649	0.06051	0.04386	0.05152	0.04645	0.10879	0.02421	0.05983	0.00489	0.00529	0.01239	0.00411	0.01855	0.01194	0.02575	0.05755	0.12660	0.12469	0.05203	0.06304	0.07691	0.02278	0.00384	0.03477	0.39029	0.45664	0.14627	0.17512	0.02444	0.04909	0.02385	0.08224	0.03173	0.07599	0.09192	0.08495	0.04041	0.03064	0.05901	0.04700	0.08121	0.05497	0.04912	0.04498	0.02090	0.05364	0.10729	0.11095	0.02287	0.03389	0.07316	0.05378	0.05655	0.09268	0.02636	0.03725	0.06785	0.06816	0.02953	0.04318	0.05114	0.03751	0.01442	0.05357	0.11093	0.11787	0.03447	0.04971	0.07624	0.09435	0.02499	0.02588	1.00000	0.85554	0.02629	0.05377	0.04403	0.07438	0.00000	0.00707
train-s	0.37711	0.49346	0.10208	0.10012	0.03894	0.02599	0.03530	0.03485	0.11339	0.09483	0.06549	0.08138	0.01665	0.02132	0.46902	0.40264	0.04186	0.03990	0.01181	0.02915	0.02537	0.02104	0.08303	0.06059	0.00932	0.01156	0.03482	0.09705	0.00000	0.00000	0.02068	0.06175	0.05717	0.03331	0.02590	0.04428	0.07310	0.06801	0.13080	0.14824	0.03934	0.03561	0.05574	0.08921	0.20143	0.20327	0.07812	0.10496	0.08118	0.15319	0.01555	0.03591	0.09167	0.07866	0.04725	0.03932	0.03437	0.06015	0.36530	0.36082	0.07632	0.04816	0.05289	0.06019	0.05601	0.12325	0.03682	0.07544	0.00000	0.01077	0.02673	0.02788	0.03913	0.03173	0.02117	0.06624	0.11117	0.11527	0.06094	0.07644	0.08161	0.02354	0.00347	0.03901	0.40725	0.50743	0.15147	0.19925	0.01658	0.02561	0.02876	0.09761	0.02295	0.06468	0.11084	0.10243	0.05278	0.03694	0.06938	0.05668	0.05875	0.03429	0.03740	0.03661	0.00000	0.03358	0.12936	0.12721	0.03217	0.03882	0.08821	0.06343	0.06671	0.11445	0.02384	0.04492	0.07158	0.05936	0.03560	0.03719	0.05910	0.04389	0.00000	0.04127	0.11517	0.13324	0.03967	0.05244	0.06895	0.08334	0.06027	0.05015	0.85554	1.00000	0.03475	0.05024	0.04551	0.07913	0.00494	0.00799
woods-b	0.02065	0.02247	0.19798	0.17460	0.00793	0.08018	0.01216	0.09031	0.19122	0.16495	0.10446	0.15534	0.15001	0.19094	0.02333	0.08002	0.02021	0.03733	0.27759	0.25481	0.09821	0.13308	0.04647	0.01211	0.07306	0.12870	0.01485	0.05947	0.19909	0.17688	0.01447	0.02468	0.27283	0.25185	0.00621	0.02045	0.06322	0.09342	0.01356	0.03930	0.31071	0.27965	0.01718	0.03002	0.28289	0.22752	0.00772	0.03698	0.03098	0.01905	0.02785	0.00846	0.01571	0.01558	0.26441	0.27483	0.01282	0.02244	0.01673	0.02376	0.25239	0.19111	0.00000	0.00978	0.00522	0.01210	0.01337	0.02985	0.38468	0.28001	0.02316	0.01456	0.03129	0.04231	0.02370	0.06090	0.22936	0.22438	0.00518	0.01523	0.07473	0.12078	0.19152	0.15445	0.02814	0.03124	0.14089	0.19639	0.26346	0.20195	0.00000	0.01301	0.00000	0.00000	0.00000	0.00000	0.02272	0.00000	0.02091	0.09251	0.02023	0.01151	0.00000	0.02277	0.00000	0.03445	0.00965	0.06718	0.05144	0.05602	0.00494	0.00000	0.00747	0.01513	0.00534	0.00000	0.00858	0.02555	0.04483	0.01977	0.01869	0.01563	0.01216	0.04619	0.18193	0.18949	0.01586	0.01398	0.01654	0.03776	0.02811	0.01347	0.02629	0.03475	1.00000	0.79822	0.00955	0.01107	0.35962	0.19550
woods-s	0.03456	0.05898	0.23306	0.21950	0.00000	0.08866	0.01706	0.10180	0.20794	0.19448	0.11856	0.17145	0.10817	0.14309	0.05263	0.09455	0.03745	0.04411	0.20815	0.22031	0.10591	0.14089	0.03391	0.01502	0.07708	0.13189	0.01233	0.05903	0.13645	0.12155	0.02308	0.03281	0.22918	0.20633	0.04220	0.05717	0.03625	0.09505	0.03604	0.05998	0.30282	0.26240	0.01843	0.01388	0.21488	0.20226	0.02279	0.04820	0.05673	0.03714	0.02263	0.01000	0.01147	0.02071	0.17715	0.22449	0.03409	0.06515	0.05375	0.04049	0.24087	0.22256	0.01311	0.01926	0.01389	0.03003	0.00000	0.01134	0.30145	0.23746	0.00684	0.01905	0.02958	0.05022	0.01680	0.07509	0.25017	0.23116	0.00306	0.02120	0.08923	0.13234	0.14129	0.13052	0.06982	0.06602	0.16506	0.22493	0.18306	0.16316	0.00713	0.02766	0.00569	0.01604	0.02749	0.02540	0.03423	0.00916	0.02117	0.06090	0.02466	0.00850	0.00928	0.03026	0.00000	0.02776	0.03208	0.07109	0.03191	0.03445	0.02187	0.01468	0.01985	0.04201	0.00473	0.01114	0.01775	0.03850	0.03090	0.03044	0.02039	0.01385	0.00000	0.04272	0.16492	0.17259	0.01405	0.01486	0.03419	0.06495	0.04650	0.05705	0.05377	0.05024	0.79822	1.00000	0.01975	0.02551	0.29419	0.16269
worry-b	0.07135	0.05914	0.05514	0.05557	0.00000	0.00000	0.00000	0.00000	0.12206	0.06915	0.02280	0.01757	0.01159	0.00873	0.04618	0.00000	0.00000	0.00000	0.00000	0.01450	0.00000	0.00000	0.56320	0.46137	0.00000	0.00000	0.00000	0.01480	0.01651	0.00000	0.01800	0.05758	0.03317	0.00000	0.00000	0.00000	0.17351	0.16680	0.42161	0.37515	0.00000	0.00000	0.05905	0.03755	0.02977	0.02455	0.51392	0.53455	0.28261	0.19554	0.00000	0.00000	0.02300	0.05331	0.01974	0.00000	0.00000	0.01444	0.04553	0.03979	0.03220	0.00762	0.41041	0.44438	0.50778	0.57959	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.20638	0.18940	0.04621	0.02908	0.01074	0.04397	0.01937	0.00000	0.00000	0.00608	0.05951	0.05730	0.09655	0.09965	0.00000	0.00000	0.43591	0.40049	0.36206	0.31310	0.44285	0.40116	0.21554	0.14467	0.49695	0.62068	0.16323	0.14920	0.32552	0.23542	0.19737	0.15424	0.56480	0.43193	0.12998	0.09779	0.16889	0.09937	0.07353	0.06902	0.23860	0.23455	0.23807	0.25830	0.18204	0.20069	0.21020	0.05209	0.29315	0.26548	0.17784	0.15416	0.29593	0.25646	0.24858	0.16060	0.00000	0.00466	0.04403	0.04551	0.00955	0.01975	1.00000	0.75928	0.00000	0.00000
worry-s	0.12035	0.10659	0.08417	0.08697	0.00000	0.00000	0.00000	0.00000	0.16529	0.12490	0.05352	0.04430	0.01814	0.01367	0.08833	0.01194	0.00000	0.00000	0.00440	0.02605	0.00512	0.00000	0.63420	0.54229	0.00000	0.00000	0.00000	0.02830	0.02010	0.00000	0.04225	0.12816	0.05768	0.00000	0.00000	0.00340	0.22327	0.23391	0.49708	0.47584	0.00000	0.00000	0.08215	0.04589	0.06327	0.04658	0.61341	0.64716	0.41996	0.35239	0.00000	0.00000	0.02200	0.07754	0.03547	0.00423	0.00000	0.02260	0.09615	0.06622	0.07140	0.03710	0.46422	0.48305	0.58490	0.66625	0.00482	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25122	0.23772	0.09341	0.07585	0.00747	0.06666	0.05053	0.01425	0.00000	0.01692	0.10714	0.10398	0.15756	0.18813	0.00000	0.00000	0.50777	0.47836	0.39426	0.37440	0.55355	0.53130	0.22489	0.17218	0.60412	0.70621	0.21340	0.20444	0.38775	0.30165	0.21279	0.18973	0.60823	0.54123	0.18639	0.11502	0.24029	0.14720	0.09018	0.13093	0.28286	0.29230	0.27858	0.29852	0.15895	0.20038	0.25820	0.08575	0.34599	0.33673	0.24178	0.22110	0.40654	0.27666	0.29961	0.24144	0.00000	0.01295	0.07438	0.07913	0.01107	0.02551	0.75928	1.00000	0.00000	0.00000
zebra-b	0.00000	0.00467	0.09584	0.12291	0.00000	0.00384	0.03834	0.02929	0.00000	0.00000	0.00495	0.00763	0.20398	0.26562	0.00573	0.00497	0.00745	0.01583	0.52764	0.53750	0.00000	0.00000	0.00000	0.00000	0.00470	0.00389	0.00000	0.06215	0.34079	0.30166	0.03128	0.02668	0.48278	0.47092	0.00560	0.02126	0.04021	0.15897	0.00000	0.05310	0.59401	0.53607	0.00000	0.00000	0.50300	0.43936	0.00000	0.05292	0.06698	0.00000	0.00000	0.02287	0.00000	0.00000	0.00572	0.00000	0.00000	0.00000	0.00565	0.00000	0.00700	0.06953	0.00000	0.00000	0.00000	0.00000	0.02408	0.00692	0.72544	0.56487	0.01565	0.00000	0.01128	0.01225	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03086	0.13651	0.22071	0.20608	0.00608	0.00433	0.00000	0.00000	0.42791	0.37879	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12859	0.00000	0.00000	0.00000	0.00000	0.00000	0.05079	0.00000	0.07317	0.00000	0.05562	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06731	0.00000	0.00777	0.00000	0.00000	0.07328	0.34561	0.37224	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00494	0.35962	0.29419	0.00000	0.00000	1.00000	0.64760
zebra-s	0.01603	0.02265	0.08088	0.09506	0.00000	0.02851	0.05782	0.11359	0.00000	0.00877	0.00000	0.04770	0.13673	0.16965	0.01112	0.00536	0.02300	0.01833	0.36534	0.45601	0.00689	0.00274	0.00318	0.00000	0.01671	0.01549	0.00324	0.04202	0.31690	0.40651	0.02022	0.01725	0.34311	0.41340	0.02773	0.10720	0.02599	0.09268	0.00000	0.02797	0.39037	0.48892	0.00474	0.00342	0.33814	0.44052	0.00000	0.02787	0.04329	0.00000	0.00270	0.12362	0.00807	0.00454	0.00000	0.00342	0.00000	0.00451	0.01279	0.01011	0.00000	0.03424	0.00000	0.00000	0.00000	0.00282	0.03373	0.00298	0.46532	0.62805	0.02360	0.00242	0.02794	0.04312	0.00000	0.00000	0.00216	0.00544	0.01056	0.01013	0.01692	0.07993	0.13361	0.29412	0.00000	0.00746	0.00417	0.00000	0.28452	0.46781	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06773	0.00295	0.00000	0.00000	0.00000	0.00000	0.02675	0.00000	0.03854	0.00000	0.02930	0.00000	0.00000	0.00000	0.00000	0.00777	0.00000	0.00500	0.00000	0.03191	0.00000	0.00000	0.00000	0.00000	0.04093	0.17315	0.19106	0.00000	0.00488	0.00321	0.00000	0.00327	0.01177	0.00707	0.00799	0.19550	0.16269	0.00000	0.00000	0.64760	1.00000
