Word,te horen,te proeven,te ruiken,te voelen door middel van aanraking,te zien,Count,PropResponses,Dominant,Sum,ModalityExclusivity
FLEECE,0.066666667,0,0.333333333,4.2,2.933333333,15,1,voelen,7.533333333,0.557522124
KUSSEN,0.6875,0.875,0.75,4.1875,3.125,16,1,voelen,9.625,0.363636364
NOPPENFOLIE,2.2,0,0,4.066666667,3.333333333,15,1,voelen,9.6,0.423611111
KLEI,0.133333333,0,2.133333333,3.933333333,3.466666667,15,1,voelen,9.666666667,0.406896552
TOETSENBORD,1.933333333,0,0,3.866666667,2.933333333,15,1,voelen,8.733333333,0.442748092
ZAND,0.2,0,0.466666667,3.866666667,3.133333333,15,1,voelen,7.666666667,0.504347826
SCHAPENVACHT,0,0,1.214285714,3.857142857,3.071428571,14,0.933333333,voelen,8.142857143,0.473684211
SPONS,0.533333333,0.066666667,0.133333333,3.8,3.266666667,15,1,voelen,7.8,0.478632479
ZIJDE,0.333333333,0,0.066666667,3.8,3,15,1,voelen,7.2,0.527777778
KNUFFELBEER,0.066666667,0,0.533333333,3.8,3.533333333,15,1,voelen,7.933333333,0.478991597
WOL,0.066666667,0,0.333333333,3.8,3.466666667,15,0.9375,voelen,7.666666667,0.495652174
SPLINTER,0,0,0,3.8,3.133333333,15,1,voelen,6.933333333,0.548076923
SATIJN,0.066666667,0,0,3.733333333,3.066666667,15,1,voelen,6.866666667,0.54368932
SUÈDE,0,0,0.733333333,3.733333333,3.266666667,15,0.9375,voelen,7.733333333,0.482758621
TANDENBORSTEL,1.933333333,0.6,0.4,3.666666667,3.533333333,15,1,voelen,10.13333333,0.322368421
SCHEERMES,0.266666667,0,0,3.666666667,3.533333333,15,0.9375,voelen,7.466666667,0.491071429
KATOEN,0.125,0,0.5,3.625,3.25,16,1,voelen,7.5,0.483333333
BANK,0.533333333,0.133333333,0.133333333,3.6,3.2,15,1,voelen,7.6,0.456140351
BRIES,1.785714286,0,0.142857143,3.571428571,0.428571429,14,0.875,voelen,5.928571429,0.602409639
LIPPENBALSEM,0.125,2.75,2.4375,3.5,2.75,16,1,voelen,11.5625,0.291891892
HUIDCRÈME,0.066666667,0,3.133333333,3.466666667,2.466666667,15,1,voelen,9.133333333,0.379562044
FOLIE,1.4,0,0,3.333333333,3.266666667,15,1,voelen,8,0.416666667
SPIJKERS,1.066666667,0,0,3.333333333,3.2,15,1,voelen,7.6,0.438596491
SCHAAR,1.266666667,0,0,3.266666667,3.066666667,15,1,voelen,7.6,0.429824561
SCHERF,1.2,0,0,3.266666667,3.133333333,15,1,voelen,7.6,0.429824561
KASJMIER,0.066666667,0,0,3.266666667,2.6,15,1,voelen,5.933333333,0.550561798
ZAAGSEL,0.733333333,0.066666667,2.733333333,3.133333333,2.933333333,15,1,voelen,9.6,0.319444444
REMMEN,2.533333333,0,0.266666667,2.866666667,2.466666667,15,1,voelen,8.133333333,0.352459016
CHIFFON,0.1,0,0,2.8,2.6,10,0.666666667,voelen,5.5,0.509090909
VENTILATOR,3.066666667,0,0,2.666666667,3.4,15,0.9375,zien,9.133333333,0.372262774
SAFFRAAN,0.071428571,1.785714286,1.428571429,0.071428571,2,14,0.933333333,zien,5.357142857,0.36
RIBFLUWEEL,0.0625,0,0.125,3.9375,3.3125,16,1,zien,7.4375,0.529411765
FLUWEEL,0,0,0.1875,3.9375,3.625,16,1,zien,7.75,0.508064516
HUID,0,0.466666667,0.6,3.933333333,4,15,1,zien,9,0.444444444
BOEK,0.6,0,0.866666667,3.866666667,4.333333333,15,1,zien,9.666666667,0.448275862
HAAR,0.125,0,1.8125,3.8125,4,16,1,zien,9.75,0.41025641
REGEN,3.666666667,0.333333333,1.8,3.8,3.733333333,15,1,zien,13.33333333,0.26
NOTITIEBOEK,0.6,0,0.266666667,3.8,4.466666667,15,1,zien,9.133333333,0.489051095
