Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
73,clear,fluid,screen,42,43,0.98,1.00,0.17,0.78,0.76,0.37,4.88,0.12,0.05,1.37,0.02,4.84,0.98,0.20,visual,0.68,visual,0.75,unidominant,2.52,0.57,1.24,1.05,4.52,Visual,0.40
74,clicking,camera,heels,42,40,1.00,1.00,4.57,0.12,2.36,0.02,2.90,4.85,0.03,1.28,0.00,3.83,0.97,0.23,auditory,0.46,auditory,0.49,unidominant,,,,,,,
75,cloudy,apple juice,day,40,43,0.96,1.00,0.11,2.18,0.55,0.53,4.13,0.28,0.35,0.74,0.88,4.88,0.92,0.41,visual,0.54,visual,0.64,unidominant,0.14,0.33,0.29,0.14,4.71,Visual,0.81
76,cloying,heat,sweet,43,43,0.73,0.49,0.23,0.35,3.69,0.82,1.77,0.05,3.19,0.52,2.05,1.00,0.39,1.17,haptic,0.50,gustatory,0.46,bidominant,0.33,3.33,1.75,2.33,1.67,Gustatory,0.32
77,coarse,brush strokes,burlap,40,41,1.00,0.85,1.13,0.25,3.93,0.08,3.83,0.29,0.17,4.49,0.26,3.69,0.98,0.18,haptic,0.42,haptic,0.49,unidominant,,,,,,,
78,coconutty,pina colada,sun cream,42,43,0.95,0.98,0.20,4.73,0.45,3.38,1.68,0.17,1.60,1.00,4.50,1.38,0.83,0.59,gustatory,0.43,olfactory,0.50,bidominant,0.19,4.67,1.52,3.62,3.62,Gustatory,0.33
79,cold,ice cream,snow ball,40,42,1.00,1.00,0.25,4.85,4.43,0.80,2.58,0.38,2.43,4.93,0.71,2.24,0.94,0.35,gustatory,0.36,haptic,0.43,bidominant,0.76,2.38,4.67,0.95,2.86,Haptic,0.34
80,colorful,magazine,parrot,40,43,0.98,1.00,0.13,0.00,0.10,0.05,4.93,0.23,0.02,0.12,0.02,5.00,1.00,0.02,visual,0.95,visual,0.92,unidominant,,,,,,,
81,colossal,skyscraper,whale,43,43,1.00,1.00,0.56,0.00,1.21,0.02,4.95,1.51,0.09,2.47,0.02,4.79,0.96,0.28,visual,0.73,visual,0.54,unidominant,1.69,0.31,2.29,0.56,4.88,Visual,0.47
82,compact,suitcase,thighs,41,40,1.00,0.98,0.29,0.00,3.34,0.02,4.63,0.23,0.15,4.00,0.00,3.90,0.98,0.18,visual,0.56,haptic,0.48,bidominant,0.48,0.29,2.90,0.19,4.76,Visual,0.53
83,conical,icecream waffle,volcano,42,43,0.95,0.86,0.15,1.28,4.08,0.33,4.70,1.00,0.08,1.41,0.54,4.57,0.88,0.49,visual,0.43,visual,0.59,unidominant,0.15,0.08,4.08,0.00,4.69,Visual,0.52
84,contoured,computer mouse,ferrari,42,40,0.95,0.93,1.03,0.15,4.15,0.20,4.18,1.43,0.00,3.32,0.30,4.54,0.99,0.17,visual,0.41,visual,0.47,unidominant,0.35,0.05,3.60,0.10,4.15,Visual,0.50
85,cooing,mother,pigeon,43,40,0.98,0.96,4.21,0.07,0.83,0.19,3.50,4.69,0.03,0.24,0.08,3.10,0.99,0.16,auditory,0.47,auditory,0.57,unidominant,4.84,0.00,0.11,0.00,2.16,Auditory,0.68
86,cool,evening,soda,43,43,1.00,1.00,0.86,0.35,4.47,1.35,2.33,0.16,4.30,4.60,0.33,2.21,0.78,0.67,haptic,0.44,haptic,0.38,unidominant,0.38,1.86,4.33,0.29,2.43,Haptic,0.44
87,crackling,campfire,chips bag,40,41,1.00,1.00,4.60,0.28,1.10,2.65,4.23,4.90,1.05,2.83,0.80,3.15,0.91,0.43,auditory,0.34,auditory,0.32,unidominant,4.29,1.33,1.38,0.90,2.81,Auditory,0.32
88,craggy,peak,visage,43,42,0.68,0.33,0.87,0.10,2.43,0.21,4.17,0.29,0.00,1.86,0.43,3.43,0.99,0.13,visual,0.52,visual,0.57,unidominant,1.00,0.13,2.67,0.13,3.47,Visual,0.45
89,crashing,house of cards,waves,42,40,1.00,1.00,3.00,0.14,2.12,0.05,4.60,4.75,0.53,2.70,1.35,4.80,0.97,0.26,visual,0.46,visual,0.30,unidominant,4.57,0.14,1.24,0.52,4.62,Visual,0.40
90,creaking,branch,floorboard,43,40,1.00,0.99,4.67,0.00,1.49,0.19,3.16,4.53,0.00,2.13,0.10,1.79,0.97,0.26,auditory,0.49,auditory,0.53,unidominant,4.48,0.00,1.14,0.00,2.05,Auditory,0.58
91,creamy,body lotion,cheesecake,43,43,1.00,1.00,0.53,0.51,4.84,1.23,3.79,0.12,4.56,2.77,1.16,3.35,0.74,0.74,haptic,0.40,gustatory,0.37,bidominant,0.19,4.48,2.76,2.38,3.81,Gustatory,0.31
92,creased,newspaper,pants,40,41,1.00,0.98,2.20,0.00,3.83,0.08,4.53,0.50,0.00,3.78,0.20,4.40,0.96,0.27,visual,0.43,visual,0.50,unidominant,0.15,0.15,3.65,0.15,4.70,Visual,0.52
93,crimson,cherry,curtain,43,42,0.89,0.89,0.05,1.55,0.71,1.00,4.72,0.14,0.05,0.51,0.05,4.84,0.94,0.36,visual,0.58,visual,0.86,unidominant,0.19,0.05,0.29,0.10,4.43,Visual,0.87
94,crinkled,fabric,paper,40,42,1.00,1.00,1.60,0.00,3.93,0.05,4.58,4.00,0.19,4.10,0.21,4.40,0.95,0.33,visual,0.45,visual,0.33,unidominant,2.71,0.90,4.62,0.24,4.62,Visual,0.33
95,crisp,air,lettuce,40,43,1.00,1.00,0.90,0.75,2.60,3.13,1.15,3.51,4.49,3.95,1.16,3.72,0.71,0.78,olfactory,0.28,gustatory,0.20,bidominant,2.05,2.67,3.38,1.14,3.10,Haptic,0.18
96,crooked,gait,nose,43,43,0.77,1.00,1.36,0.06,2.21,0.03,4.70,0.09,0.05,3.63,0.02,4.86,0.95,0.31,visual,0.56,visual,0.56,unidominant,0.62,0.19,3.57,0.14,4.48,Visual,0.48
97,crowded,airport,elevator,41,40,1.00,1.00,4.51,0.07,3.00,1.41,4.95,3.15,0.08,3.90,1.58,4.75,0.98,0.22,visual,0.35,visual,0.35,unidominant,3.71,0.00,2.29,0.76,4.62,Visual,0.41
98,crunching,cookies,gravel path,42,43,0.98,0.93,4.17,3.34,3.44,0.49,3.17,4.70,0.03,3.08,0.23,2.95,0.88,0.50,auditory,0.25,auditory,0.43,unidominant,3.71,3.05,2.14,0.43,2.14,Auditory,0.29
99,crying,child,woman,42,40,1.00,1.00,4.83,0.10,1.52,0.40,4.43,4.73,0.15,1.73,0.05,4.85,1.00,0.08,auditory,0.42,visual,0.42,bidominant,4.48,0.14,1.24,0.05,4.43,Auditory,0.43
100,curly,fries,hair,40,43,0.99,1.00,0.23,2.88,3.85,0.72,4.75,0.07,0.07,4.02,0.12,4.88,0.91,0.44,visual,0.36,visual,0.53,unidominant,0.00,0.29,3.86,0.00,4.76,Visual,0.53
101,curved,cookie cutter,female body,43,43,0.98,1.00,0.21,0.24,4.12,0.14,4.86,0.09,0.09,4.21,0.02,4.86,1.00,0.04,visual,0.49,visual,0.52,unidominant,0.10,0.11,3.95,0.00,4.50,Visual,0.52
102,cute,baby,puppy,40,41,1.00,1.00,3.08,0.18,1.98,0.83,4.85,2.39,0.00,3.05,0.83,4.98,0.98,0.20,visual,0.43,visual,0.44,unidominant,3.14,0.38,1.67,0.81,4.76,Visual,0.41
103,damp,fog,towel,43,42,1.00,0.98,0.21,0.70,3.72,1.77,3.09,0.68,0.59,4.80,2.51,3.34,0.99,0.12,haptic,0.37,haptic,0.35,unidominant,0.38,0.38,4.14,3.14,3.81,Haptic,0.32
