WORD,Transliteration,English_Translation,Category,Abstractness,Length,Gender,Fr_obj_Lg,Vis_Mean,Vis_SD,Aud_Mean,Aud_SD,Olf_Mean,Olf_SD,Gus_Mean,Gus_SD,Hap_Mean,Hap_SD,Img_Mean,Img_SD,Man_Mean,Man_SD,Space17_Mean,Space17_SD,AoA_Mean,AoA_SD,Fr_Mean,Fr_SD
______,stimul,stimulus,Intelligence,abstract,6,m,1.1,2.27,1.87,2.13,1.94,1.31,0.89,1.71,1.72,1.79,1.59,2.6,1.55,2.13,1.56,4.62,1.95,8.8,3.09,5.04,1.79
_____,stopa,foot,Body_Part,concrete,5,f,1.1,3.53,2.27,2,1.21,2.3,1.74,1.3,0.75,4.79,2.23,6.21,1.35,1.87,1.75,1.81,1.15,5.48,2.28,3.55,1.68
_________,stradanie,suffering,Sense_Emotion,abstract,9,n,1.6,2.4,1.96,3.36,2.25,1.69,1.49,1.54,1.37,2.27,2.09,3.39,1.57,2,1.72,3.5,2,7.77,3.57,3.73,1.95
_______,strast,passion,Sense_Emotion,abstract,7,f,0.2,3.37,2.11,3.27,2.33,1.9,1.82,2.89,2.28,2.76,2.29,3.29,1.81,4,2.5,4.86,1.96,9.07,3.31,5.11,1.91
_________,strategiya,strategy,Intelligence,abstract,9,f,1.6,3.03,2.25,2.13,1.59,1.41,1.21,1.43,1.26,1.72,1.69,3.12,1.92,2.68,2.06,4.32,1.94,9.13,2.33,4.43,2.17
_____,strah,fear,Sense_Emotion,abstract,5,m,2.1,2.73,2.07,3.21,2.1,2.38,2.16,1.79,1.5,2.48,2.17,4.07,1.47,2.43,2.14,3.69,1.8,3.92,1.9,4.6,1.87
______,strela,arrow,Tool_precise_grip,concrete,6,f,1.3,4.28,2.43,3.55,1.94,1.31,0.81,1.31,0.85,4.31,2.38,6.59,0.84,5.21,2.34,4.78,1.7,5.11,2.41,3.46,1.64
______,stress,stress,Sense_Emotion,abstract,6,m,1.1,2.21,1.78,2.5,1.96,1.69,1.54,1.83,1.39,1.67,1.17,2.79,1.61,2,1.84,4.3,2.02,9.17,3.4,4.6,1.67
____,stuk,knock,Sound,concrete,4,m,0.2,1.8,1.19,5.48,2.06,1.1,0.4,1.13,0.43,2.83,1.98,4.75,1.96,5.84,1.9,3.41,1.58,4.41,1.76,4.21,2.06
____,styid,shame,Sense_Emotion,abstract,4,m,1.4,2.53,1.8,2.2,1.9,1.48,1.24,1.64,1.59,2.03,1.97,2.85,1.67,1.75,1.55,3.08,2.05,5.97,2.68,4.14,1.96
_____,sueta,vanity,Action,abstract,5,f,1.3,3.58,1.98,3.61,1.93,1.13,0.43,1.5,1.14,2,1.65,4.29,1.51,2.33,1.88,3.73,1.92,7.6,2.22,4.31,1.59
_______,suzhenie,narrowing,Action,abstract,7,n,0.5,3.76,2.17,1.13,0.51,1.21,0.68,1.54,1.4,2.38,1.84,2.65,1.41,2.16,1.53,2.73,1.82,8.27,2.75,2.82,1.61
_______,suhost,dryness,Sense_Phys,abstract,7,f,0.6,2.31,1.85,1.72,1.36,2.1,1.54,2.97,2.31,3.14,2.13,4,1.71,2.2,1.79,3.12,1.8,5.93,2.41,3.79,1.59
_______,schaste,happiness,Sense_Emotion,abstract,7,n,2.2,2.73,1.76,3.59,2.52,2.77,2.22,2.13,1.74,1.97,1.61,4.36,2.06,2.77,2.03,5.91,1.28,6.56,3.18,5.17,1.81
_______,syirost,dampness,Sense_Phys,abstract,7,f,0.9,2.84,1.95,1.61,1.26,5.17,1.56,2.05,1.25,4.07,2.43,4,1.52,1.9,1.74,1.94,1.41,6.6,3.02,4.1,1.69
